hero_id,team,win,kills,deaths,assists,role,purchases
51,Radiant,False,3,13,15,Unknown,None
53,Radiant,False,6,14,13,Unknown,None
15,Radiant,False,4,10,5,Unknown,None
7,Radiant,False,11,8,2,Unknown,None
23,Radiant,False,1,9,8,Unknown,None
137,Dire,True,6,6,27,Unknown,None
128,Dire,True,8,4,29,Unknown,None
35,Dire,True,19,3,18,Unknown,None
123,Dire,True,5,10,25,Unknown,None
36,Dire,True,15,2,17,Unknown,None
20,Radiant,False,2,6,4,Unknown,None
74,Radiant,False,2,8,1,Unknown,None
26,Radiant,False,2,8,4,Unknown,None
137,Radiant,False,3,10,3,Unknown,None
11,Radiant,False,0,7,1,Unknown,None
63,Dire,True,7,2,10,Unknown,None
7,Dire,True,4,2,11,Unknown,None
98,Dire,True,11,2,9,Unknown,None
64,Dire,True,7,3,11,Unknown,None
131,Dire,True,10,1,9,Unknown,None
97,Radiant,False,6,8,30,Unknown,None
105,Radiant,False,10,17,20,Unknown,None
102,Radiant,False,5,10,32,Unknown,None
21,Radiant,False,15,10,22,Unknown,None
113,Radiant,False,18,8,18,Unknown,None
93,Dire,True,7,8,14,Unknown,None
58,Dire,True,10,6,17,Unknown,None
13,Dire,True,11,16,17,Unknown,None
19,Dire,True,12,11,24,Unknown,None
99,Dire,True,13,14,29,Unknown,None
